MODEL_NAME,GPU_TYPE,GPU_NUM,MAX_TOKEN_NUM,FRAMEWORK,TP,TGS
LLAMA_7B,A100,1,65536,LIGHTLLM,1,2
LLAMA_7B,A100,1,65536,VLLM,1,2
LLAMA_7B,A100,1,262144,LIGHTLLM,1,3
LLAMA_7B,A100,1,262144,VLLM,1,2
LLAMA_7B,A100,1,1048576,LIGHTLLM,1,-1
LLAMA_7B,A100,1,1048576,VLLM,1,2
LLAMA_7B,A100,2,65536,LIGHTLLM,2,2
LLAMA_7B,A100,2,65536,VLLM,2,2
LLAMA_7B,A100,2,262144,LIGHTLLM,2,3
LLAMA_7B,A100,2,262144,VLLM,2,2
LLAMA_7B,A100,2,1048576,LIGHTLLM,2,4
LLAMA_7B,A100,2,1048576,VLLM,2,2
LLAMA_7B,A100,4,65536,LIGHTLLM,4,2
LLAMA_7B,A100,4,65536,VLLM,4,2
LLAMA_7B,A100,4,262144,LIGHTLLM,4,3
LLAMA_7B,A100,4,262144,VLLM,4,2
LLAMA_7B,A100,4,1048576,LIGHTLLM,4,4
LLAMA_7B,A100,4,1048576,VLLM,4,2
LLAMA_7B,A100,8,65536,LIGHTLLM,8,2
LLAMA_7B,A100,8,65536,VLLM,8,2
LLAMA_7B,A100,8,262144,LIGHTLLM,8,3
LLAMA_7B,A100,8,262144,VLLM,8,2
LLAMA_7B,A100,8,1048576,LIGHTLLM,8,4
LLAMA_7B,A100,8,1048576,VLLM,8,2
LLAMA_70B,A100,1,65536,LIGHTLLM,1,-1
LLAMA_70B,A100,1,65536,VLLM,1,-1
LLAMA_70B,A100,1,262144,LIGHTLLM,1,-1
LLAMA_70B,A100,1,262144,VLLM,1,-1
LLAMA_70B,A100,1,1048576,LIGHTLLM,1,-1
LLAMA_70B,A100,1,1048576,VLLM,1,-1
LLAMA_70B,A100,2,65536,LIGHTLLM,2,1
LLAMA_70B,A100,2,65536,VLLM,2,1
LLAMA_70B,A100,2,262144,LIGHTLLM,2,-1
LLAMA_70B,A100,2,262144,VLLM,2,1
LLAMA_70B,A100,2,1048576,LIGHTLLM,2,-1
LLAMA_70B,A100,2,1048576,VLLM,2,1
LLAMA_70B,A100,4,65536,LIGHTLLM,4,1
LLAMA_70B,A100,4,65536,VLLM,4,1
LLAMA_70B,A100,4,262144,LIGHTLLM,4,2
LLAMA_70B,A100,4,262144,VLLM,4,1
LLAMA_70B,A100,4,1048576,LIGHTLLM,4,-1
LLAMA_70B,A100,4,1048576,VLLM,4,1
LLAMA_70B,A100,8,65536,LIGHTLLM,8,1
LLAMA_70B,A100,8,65536,VLLM,8,1
LLAMA_70B,A100,8,262144,LIGHTLLM,8,2
LLAMA_70B,A100,8,262144,VLLM,8,1
LLAMA_70B,A100,8,1048576,LIGHTLLM,8,3
LLAMA_70B,A100,8,1048576,VLLM,8,1
LLAMA_20B,A100,1,65536,LIGHTLLM,1,1
LLAMA_20B,A100,1,65536,VLLM,1,1
LLAMA_20B,A100,1,262144,LIGHTLLM,1,-1
LLAMA_20B,A100,1,262144,VLLM,1,2
LLAMA_20B,A100,1,1048576,LIGHTLLM,1,-1
LLAMA_20B,A100,1,1048576,VLLM,1,2
LLAMA_20B,A100,2,65536,LIGHTLLM,2,1
LLAMA_20B,A100,2,65536,VLLM,2,1
LLAMA_20B,A100,2,262144,LIGHTLLM,2,2
LLAMA_20B,A100,2,262144,VLLM,2,2
LLAMA_20B,A100,2,1048576,LIGHTLLM,2,-1
LLAMA_20B,A100,2,1048576,VLLM,2,2
LLAMA_20B,A100,4,65536,LIGHTLLM,4,1
LLAMA_20B,A100,4,65536,VLLM,4,1
LLAMA_20B,A100,4,262144,LIGHTLLM,4,2
LLAMA_20B,A100,4,262144,VLLM,4,2
LLAMA_20B,A100,4,1048576,LIGHTLLM,4,4
LLAMA_20B,A100,4,1048576,VLLM,4,2
LLAMA_20B,A100,8,65536,LIGHTLLM,8,1
LLAMA_20B,A100,8,65536,VLLM,8,1
LLAMA_20B,A100,8,262144,LIGHTLLM,8,2
LLAMA_20B,A100,8,262144,VLLM,8,2
LLAMA_20B,A100,8,1048576,LIGHTLLM,8,4
LLAMA_20B,A100,8,1048576,VLLM,8,2
LLAMA_100B,A100,1,65536,LIGHTLLM,1,-1
LLAMA_100B,A100,1,65536,VLLM,1,-1
LLAMA_100B,A100,1,262144,LIGHTLLM,1,-1
LLAMA_100B,A100,1,262144,VLLM,1,-1
LLAMA_100B,A100,1,1048576,LIGHTLLM,1,-1
LLAMA_100B,A100,1,1048576,VLLM,1,-1
LLAMA_100B,A100,2,65536,LIGHTLLM,2,-1
LLAMA_100B,A100,2,65536,VLLM,2,-1
LLAMA_100B,A100,2,262144,LIGHTLLM,2,-1
LLAMA_100B,A100,2,262144,VLLM,2,-1
LLAMA_100B,A100,2,1048576,LIGHTLLM,2,-1
LLAMA_100B,A100,2,1048576,VLLM,2,-1
LLAMA_100B,A100,4,65536,LIGHTLLM,4,-1
LLAMA_100B,A100,4,65536,VLLM,4,1
LLAMA_100B,A100,4,262144,LIGHTLLM,4,-1
LLAMA_100B,A100,4,262144,VLLM,4,1
LLAMA_100B,A100,4,1048576,LIGHTLLM,4,-1
LLAMA_100B,A100,4,1048576,VLLM,4,1
LLAMA_100B,A100,8,65536,LIGHTLLM,8,-1
LLAMA_100B,A100,8,65536,VLLM,8,1
LLAMA_100B,A100,8,262144,LIGHTLLM,8,-1
LLAMA_100B,A100,8,262144,VLLM,8,1
LLAMA_100B,A100,8,1048576,LIGHTLLM,8,-1
LLAMA_100B,A100,8,1048576,VLLM,8,1
